LinUCB,’ñˆÄŽè–@,,’ñˆÄŽè–@
1.05756,1.06984,0.04009,1.07984
1.05759,1.07022,0.04011,1.08022
1.05761,1.0701,0.04012,1.0801
1.05764,1.06924,0.04011,1.07924
1.05766,1.06896,0.04014,1.07896
1.05768,1.0688,0.04012,1.0788
1.0577,1.06789,0.04013,1.07789
1.05772,1.06877,0.04018,1.07877
1.05775,1.06861,0.04014,1.07861
1.05777,1.06765,0.04013,1.07765
1.05778,1.06767,0.04016,1.07767
1.05781,1.06873,0.0402,1.07873
1.05783,1.069,0.04023,1.079
1.05785,1.06877,0.04025,1.07877
1.05787,1.06926,0.04026,1.07926
1.0579,1.06921,0.04027,1.07921
1.05792,1.06818,0.04029,1.07818
1.05794,1.06832,0.04028,1.07832
1.05795,1.06732,0.04024,1.07732
1.05797,1.06713,0.04027,1.07713
1.05799,1.06706,0.0403,1.07706
1.05801,1.06724,0.0403,1.07724
1.05803,1.06765,0.04036,1.07765
1.05805,1.06774,0.04036,1.07774
1.05806,1.06742,0.04034,1.07742
1.05808,1.06761,0.04041,1.07761
1.0581,1.06861,0.04044,1.07861
1.05812,1.06845,0.04042,1.07845
1.05814,1.06792,0.04042,1.07792
1.05816,1.06845,0.04046,1.07845
1.05818,1.06872,0.04047,1.07872
1.0582,1.06853,0.04046,1.07853
1.05822,1.06869,0.0405,1.07869
1.05824,1.06989,0.04054,1.07989
1.05827,1.06981,0.04053,1.07981
1.05829,1.06903,0.04052,1.07903
1.0583,1.06823,0.04051,1.07823
1.05832,1.06789,0.04048,1.07789
1.05834,1.06708,0.04049,1.07708
1.05836,1.06717,0.0405,1.07717
1.05837,1.0678,0.04053,1.0778
1.05839,1.06842,0.04057,1.07842
1.05841,1.06849,0.04057,1.07849
1.05843,1.0684,0.0406,1.0784
1.05845,1.06854,0.04066,1.07854
1.05847,1.06916,0.04066,1.07916
1.05849,1.06879,0.04064,1.07879
1.05851,1.06832,0.04066,1.07832
1.05852,1.06826,0.04061,1.07826
1.05854,1.06679,0.04059,1.07679
1.05855,1.06663,0.04059,1.07663
1.05857,1.06715,0.04063,1.07715
1.05859,1.06789,0.0407,1.07789
1.0586,1.06788,0.04068,1.07788
1.05862,1.0675,0.04068,1.0775
1.05864,1.06746,0.0407,1.07746
1.05865,1.06742,0.04068,1.07742
1.05867,1.06683,0.04067,1.07683
1.05868,1.06664,0.04069,1.07664
1.0587,1.06673,0.04069,1.07673
1.05871,1.06671,0.04074,1.07671
1.05873,1.06767,0.04076,1.07767
1.05874,1.06709,0.04078,1.07709
1.05876,1.06723,0.04079,1.07723
1.05877,1.06726,0.04077,1.07726
1.05879,1.06705,0.04077,1.07705
1.0588,1.06732,0.04081,1.07732
1.05882,1.06733,0.04078,1.07733
1.05883,1.06611,0.04076,1.07611
1.05884,1.06569,0.04078,1.07569
1.05886,1.06614,0.04078,1.07614
1.05887,1.06528,0.04076,1.07528
1.05888,1.06436,0.04073,1.07436
1.05889,1.06395,0.04074,1.07395
1.0589,1.06374,0.04074,1.07374
1.0589,1.06298,0.04069,1.07298
1.05891,1.06163,0.04065,1.07163
1.05891,1.06067,0.04066,1.07067
1.05891,1.06059,0.04067,1.07059
1.05892,1.06059,0.04069,1.07059
1.05892,1.06034,0.04068,1.07034
1.05892,1.06059,0.04074,1.07059
1.05893,1.06066,0.04072,1.07066
1.05893,1.06001,0.04072,1.07001
1.05893,1.05907,0.0407,1.06907
1.05893,1.0584,0.0407,1.0684
1.05893,1.05828,0.04069,1.06828
1.05892,1.05813,0.04068,1.06813
1.05892,1.05743,0.04067,1.06743
1.05892,1.05687,0.04065,1.06687
1.05891,1.05593,0.04063,1.06593
1.05891,1.05518,0.04062,1.06518
1.0589,1.05441,0.0406,1.06441
1.05889,1.05358,0.04057,1.06358
1.05888,1.05334,0.04058,1.06334
1.05887,1.05295,0.04054,1.06295
1.05886,1.05209,0.04051,1.06209
1.05885,1.05102,0.04047,1.06102
1.05883,1.05042,0.04047,1.06042
1.05882,1.0499,0.04047,1.0599
1.0588,1.04951,0.04045,1.05951
1.05878,1.04856,0.04044,1.05856
1.05877,1.04833,0.04043,1.05833
1.05875,1.0477,0.04042,1.0577
1.05873,1.04728,0.0404,1.05728
1.05871,1.04799,0.04045,1.05799
1.05869,1.04816,0.04044,1.05816
1.05867,1.04743,0.04044,1.05743
1.05865,1.04728,0.04045,1.05728
1.05864,1.04834,0.04052,1.05834
1.05862,1.04876,0.0405,1.05876
1.0586,1.0485,0.04049,1.0585
1.05859,1.04851,0.04051,1.05851
1.05857,1.04768,0.0405,1.05768
1.05855,1.04726,0.04047,1.05726
1.05853,1.04708,0.04051,1.05708
1.05851,1.04767,0.04052,1.05767
1.05849,1.04717,0.04052,1.05717
1.05848,1.04735,0.04053,1.05735
1.05846,1.04737,0.04051,1.05737
1.05844,1.04744,0.04054,1.05744
1.05842,1.04725,0.04053,1.05725
